Commodity,Market,Price
Broccoli Imported,PAPINE Market,
Cabbage (Green) Local,PAPINE Market,440.0
Cabbage (Red) Imported,PAPINE Market,
Callaloo Shredded,PAPINE Market,660.0
Callaloo Whole,PAPINE Market,550.0
Cantaloupe Local,PAPINE Market,
Carrot Local,PAPINE Market,770.0
Cauliflower Local,PAPINE Market,
Cauliflower Imported,PAPINE Market,
Coco Local,PAPINE Market,880.0
Cucumber Local,PAPINE Market,550.0
Dasheen Local,PAPINE Market,880.0
Escallion Local,PAPINE Market,660.0
Ginger Local,PAPINE Market,1320.0
Green Banana Local,PAPINE Market,330.0
Gungo Peas Dry,PAPINE Market,1320.0
Honeydew Melon Local,PAPINE Market,
Irish Potato Local,PAPINE Market,660.0
Lettuce Iceberg (Local),PAPINE Market,1100.0
Lettuce Romaine (Local),PAPINE Market,1100.0
Okra Local,PAPINE Market,880.0
Onion Local,PAPINE Market,825.0
Onion Imported,PAPINE Market,880.0
Pak Choi Local,PAPINE Market,330.0
Papaya Local,PAPINE Market,770.0
Pepper (Hot) Scotch Bonnet,PAPINE Market,2640.0
Pepper (Hot) West Indian Red,PAPINE Market,
Pineapple Cow Boy,PAPINE Market,605.0
Pineapple MD 2,PAPINE Market,880.0
Plantain Ripe,PAPINE Market,880.0
Plantain Green,PAPINE Market,880.0
Pumpkin Local,PAPINE Market,550.0
String Bean Local,PAPINE Market,1100.0
Sweet Pepper (Green) Local,PAPINE Market,990.0
Sweet Pepper (Red) Local,PAPINE Market,1320.0
Sweet Pepper (Yellow) Local,PAPINE Market,1320.0
Sweet Potato Local,PAPINE Market,770.0
Thyme Local,PAPINE Market,3300.0
Tomatoes(Plummy) Local,PAPINE Market,550.0
Tomatoes(Salad) Local,PAPINE Market,1100.0
Turmeric Local,PAPINE Market,990.0
Watermelon Local,PAPINE Market,660.0
Yam Yellow,PAPINE Market,770.0
Yam Negro,PAPINE Market,880.0
Broccoli Imported,CORONATION Market,2200.0
Cabbage (Green) Local,CORONATION Market,121.0
Cabbage (Red) Imported,CORONATION Market,880.0
Callaloo Shredded,CORONATION Market,440.0
Callaloo Whole,CORONATION Market,330.0
Cantaloupe Local,CORONATION Market,550.0
Carrot Local,CORONATION Market,440.0
Cauliflower Local,CORONATION Market,550.0
Cauliflower Imported,CORONATION Market,
Coco Local,CORONATION Market,440.0
Cucumber Local,CORONATION Market,220.0
Dasheen Local,CORONATION Market,550.0
Escallion Local,CORONATION Market,275.0
Ginger Local,CORONATION Market,880.0
Green Banana Local,CORONATION Market,220.0
Gungo Peas Dry,CORONATION Market,1100.0
Honeydew Melon Local,CORONATION Market,550.0
Irish Potato Local,CORONATION Market,440.0
Lettuce Iceberg (Local),CORONATION Market,330.0
Lettuce Romaine (Local),CORONATION Market,
Okra Local,CORONATION Market,440.0
Onion Local,CORONATION Market,385.0
Onion Imported,CORONATION Market,
Pak Choi Local,CORONATION Market,121.0
Papaya Local,CORONATION Market,440.0
Pepper (Hot) Scotch Bonnet,CORONATION Market,770.0
Pepper (Hot) West Indian Red,CORONATION Market,440.0
Pineapple Cow Boy,CORONATION Market,330.0
Pineapple MD 2,CORONATION Market,440.0
Plantain Ripe,CORONATION Market,440.0
Plantain Green,CORONATION Market,330.0
Pumpkin Local,CORONATION Market,440.0
String Bean Local,CORONATION Market,440.0
Sweet Pepper (Green) Local,CORONATION Market,330.0
Sweet Pepper (Red) Local,CORONATION Market,660.0
Sweet Pepper (Yellow) Local,CORONATION Market,660.0
Sweet Potato Local,CORONATION Market,440.0
Thyme Local,CORONATION Market,1650.0
Tomatoes(Plummy) Local,CORONATION Market,264.0
Tomatoes(Salad) Local,CORONATION Market,330.0
Turmeric Local,CORONATION Market,440.0
Watermelon Local,CORONATION Market,605.0
Yam Yellow,CORONATION Market,330.0
Yam Negro,CORONATION Market,
Broccoli Imported,CROSS ROADS Market,
Cabbage (Green) Local,CROSS ROADS Market,550.0
Cabbage (Red) Imported,CROSS ROADS Market,
Callaloo Shredded,CROSS ROADS Market,660.0
Callaloo Whole,CROSS ROADS Market,660.0
Cantaloupe Local,CROSS ROADS Market,
Carrot Local,CROSS ROADS Market,660.0
Cauliflower Local,CROSS ROADS Market,
Cauliflower Imported,CROSS ROADS Market,
Coco Local,CROSS ROADS Market,935.0
Cucumber Local,CROSS ROADS Market,550.0
Dasheen Local,CROSS ROADS Market,880.0
Escallion Local,CROSS ROADS Market,660.0
Ginger Local,CROSS ROADS Market,1760.0
Green Banana Local,CROSS ROADS Market,330.0
Gungo Peas Dry,CROSS ROADS Market,1320.0
Honeydew Melon Local,CROSS ROADS Market,
Irish Potato Local,CROSS ROADS Market,880.0
Lettuce Iceberg (Local),CROSS ROADS Market,660.0
Lettuce Romaine (Local),CROSS ROADS Market,
Okra Local,CROSS ROADS Market,1210.0
Onion Local,CROSS ROADS Market,880.0
Onion Imported,CROSS ROADS Market,
Pak Choi Local,CROSS ROADS Market,220.0
Papaya Local,CROSS ROADS Market,880.0
Pepper (Hot) Scotch Bonnet,CROSS ROADS Market,2420.0
Pepper (Hot) West Indian Red,CROSS ROADS Market,
Pineapple Cow Boy,CROSS ROADS Market,660.0
Pineapple MD 2,CROSS ROADS Market,770.0
Plantain Ripe,CROSS ROADS Market,605.0
Plantain Green,CROSS ROADS Market,605.0
Pumpkin Local,CROSS ROADS Market,660.0
String Bean Local,CROSS ROADS Market,660.0
Sweet Pepper (Green) Local,CROSS ROADS Market,660.0
Sweet Pepper (Red) Local,CROSS ROADS Market,770.0
Sweet Pepper (Yellow) Local,CROSS ROADS Market,770.0
Sweet Potato Local,CROSS ROADS Market,880.0
Thyme Local,CROSS ROADS Market,2640.0
Tomatoes(Plummy) Local,CROSS ROADS Market,440.0
Tomatoes(Salad) Local,CROSS ROADS Market,770.0
Turmeric Local,CROSS ROADS Market,880.0
Watermelon Local,CROSS ROADS Market,660.0
Yam Yellow,CROSS ROADS Market,770.0
Yam Negro,CROSS ROADS Market,880.0
Broccoli Imported,CROSS ROADS Sampars,
Cabbage (Green) Local,CROSS ROADS Sampars,462.0
Cabbage (Red) Imported,CROSS ROADS Sampars,1268.75
Callaloo Shredded,CROSS ROADS Sampars,
Callaloo Whole,CROSS ROADS Sampars,
Cantaloupe Local,CROSS ROADS Sampars,990.0
Carrot Local,CROSS ROADS Sampars,815.0
Cauliflower Local,CROSS ROADS Sampars,
Cauliflower Imported,CROSS ROADS Sampars,
Coco Local,CROSS ROADS Sampars,
Cucumber Local,CROSS ROADS Sampars,495.0
Dasheen Local,CROSS ROADS Sampars,
Escallion Local,CROSS ROADS Sampars,
Ginger Local,CROSS ROADS Sampars,1650.0
Green Banana Local,CROSS ROADS Sampars,
Gungo Peas Dry,CROSS ROADS Sampars,1192.5
Honeydew Melon Local,CROSS ROADS Sampars,990.0
Irish Potato Local,CROSS ROADS Sampars,
Lettuce Iceberg (Local),CROSS ROADS Sampars,1276.0
Lettuce Romaine (Local),CROSS ROADS Sampars,
Okra Local,CROSS ROADS Sampars,1320.0
Onion Local,CROSS ROADS Sampars,
Onion Imported,CROSS ROADS Sampars,900.0
Pak Choi Local,CROSS ROADS Sampars,495.0
Papaya Local,CROSS ROADS Sampars,
Pepper (Hot) Scotch Bonnet,CROSS ROADS Sampars,2970.0
Pepper (Hot) West Indian Red,CROSS ROADS Sampars,
Pineapple Cow Boy,CROSS ROADS Sampars,990.0
Pineapple MD 2,CROSS ROADS Sampars,
Plantain Ripe,CROSS ROADS Sampars,900.0
Plantain Green,CROSS ROADS Sampars,900.0
Pumpkin Local,CROSS ROADS Sampars,495.0
String Bean Local,CROSS ROADS Sampars,
Sweet Pepper (Green) Local,CROSS ROADS Sampars,660.0
Sweet Pepper (Red) Local,CROSS ROADS Sampars,
Sweet Pepper (Yellow) Local,CROSS ROADS Sampars,
Sweet Potato Local,CROSS ROADS Sampars,
Thyme Local,CROSS ROADS Sampars,2175.0
Tomatoes(Plummy) Local,CROSS ROADS Sampars,
Tomatoes(Salad) Local,CROSS ROADS Sampars,1120.0
Turmeric Local,CROSS ROADS Sampars,844.25
Watermelon Local,CROSS ROADS Sampars,825.0
Yam Yellow,CROSS ROADS Sampars,
Yam Negro,CROSS ROADS Sampars,
Broccoli Imported,CROSS ROADS Hi-Lo,
Cabbage (Green) Local,CROSS ROADS Hi-Lo,701.88
Cabbage (Red) Imported,CROSS ROADS Hi-Lo,1157.01
Callaloo Shredded,CROSS ROADS Hi-Lo,772.2
Callaloo Whole,CROSS ROADS Hi-Lo,519.0
Cantaloupe Local,CROSS ROADS Hi-Lo,
Carrot Local,CROSS ROADS Hi-Lo,964.91
Cauliflower Local,CROSS ROADS Hi-Lo,
Cauliflower Imported,CROSS ROADS Hi-Lo,
Coco Local,CROSS ROADS Hi-Lo,1157.89
Cucumber Local,CROSS ROADS Hi-Lo,659.01
Dasheen Local,CROSS ROADS Hi-Lo,
Escallion Local,CROSS ROADS Hi-Lo,1078.39
Ginger Local,CROSS ROADS Hi-Lo,1933.33
Green Banana Local,CROSS ROADS Hi-Lo,427.5
Gungo Peas Dry,CROSS ROADS Hi-Lo,771.93
Honeydew Melon Local,CROSS ROADS Hi-Lo,
Irish Potato Local,CROSS ROADS Hi-Lo,884.02
Lettuce Iceberg (Local),CROSS ROADS Hi-Lo,1350.88
Lettuce Romaine (Local),CROSS ROADS Hi-Lo,
Okra Local,CROSS ROADS Hi-Lo,837.32
Onion Local,CROSS ROADS Hi-Lo,1052.63
Onion Imported,CROSS ROADS Hi-Lo,
Pak Choi Local,CROSS ROADS Hi-Lo,573.07
Papaya Local,CROSS ROADS Hi-Lo,701.75
Pepper (Hot) Scotch Bonnet,CROSS ROADS Hi-Lo,
Pepper (Hot) West Indian Red,CROSS ROADS Hi-Lo,
Pineapple Cow Boy,CROSS ROADS Hi-Lo,
